epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.23793,1.17286,7.98144,0.02766,0.10817,0.41667,0.21847,0.1175,1.25286,4.33574,0.02287,5e-05,5e-05,0.09505
2,9.44636,1.29338,3.28827,0.0296,0.00072,0.08333,0.00037,0.00011,1.66822,53.62,0.03142,0.000108911,0.000108911,0.0891089
3,10.5676,0.99788,1.25124,0.02222,0.00037,0.08333,0.00027,6e-05,1.73019,30.6773,0.03477,0.000166634,0.000166634,0.0831666
4,11.4911,1.08764,0.9563,0.02646,0.00083,0.25,0.00067,0.00011,2.22733,20.2992,0.04706,0.000223169,0.000223169,0.0772232
5,12.3746,1.06964,0.7128,0.02737,0.88076,0.16667,0.17575,0.07128,2.04994,8.52132,0.04315,0.000278516,0.000278516,0.0712785
6,13.4183,1.1289,0.62744,0.02788,0.93574,0.41667,0.43796,0.32178,1.30332,3.02983,0.02506,0.000332675,0.000332675,0.0653327
7,14.3665,1.10055,0.57969,0.02522,0.87939,0.75,0.83688,0.65191,0.99437,1.32595,0.02054,0.000385646,0.000385646,0.0593856
8,15.4757,1.13434,0.46476,0.02869,1,0.73685,0.845,0.64494,0.93093,1.1904,0.01794,0.000437429,0.000437429,0.0534374
9,16.493,1.07661,0.40913,0.02309,1,0.74553,0.86423,0.66069,0.92449,1.11805,0.01626,0.000488024,0.000488024,0.047488
10,17.6102,0.97711,0.43678,0.02553,0.91661,0.91608,0.93417,0.70259,0.93129,0.59007,0.01731,0.000537431,0.000537431,0.0415374
11,18.7194,1.0036,0.40493,0.02667,0.98379,0.91667,0.963,0.75277,0.93416,0.48193,0.01803,0.00058565,0.00058565,0.0355857
12,19.925,0.98847,0.42328,0.02476,0.91008,0.91667,0.9648,0.79612,0.76844,0.47457,0.01416,0.000632681,0.000632681,0.0296327
13,20.9485,0.81441,0.29727,0.02117,0.97539,0.75,0.94301,0.76588,0.87249,0.69055,0.01521,0.000678524,0.000678524,0.0236785
14,22.0993,0.94415,0.35922,0.025,1,0.89391,0.915,0.72615,0.90565,0.7805,0.0157,0.000723179,0.000723179,0.0177232
15,23.2249,0.74169,0.36554,0.01873,1,0.89391,0.915,0.72615,0.90565,0.7805,0.0157,0.000766646,0.000766646,0.0117666
16,24.311,0.78346,0.38187,0.02129,0.91591,0.9083,0.90083,0.74516,0.83179,0.68867,0.01473,0.000808925,0.000808925,0.00580892
17,25.2686,0.69693,0.33036,0.01768,1,0.90585,0.94243,0.78366,0.76652,0.57842,0.01378,0.0008416,0.0008416,0.0008416
18,26.1818,0.7745,0.30642,0.01863,1,0.81768,0.94633,0.80067,0.73849,0.4942,0.01272,0.0008317,0.0008317,0.0008317
19,27.1924,0.80975,0.35667,0.02252,1,0.81768,0.94633,0.80067,0.73849,0.4942,0.01272,0.0008218,0.0008218,0.0008218
20,28.1913,0.71072,0.30001,0.01799,1,0.9129,0.94929,0.81798,0.70606,0.44678,0.01205,0.0008119,0.0008119,0.0008119
21,29.0539,0.68915,0.23017,0.01664,0.99202,0.91667,0.9534,0.77482,0.72746,0.50281,0.01265,0.000802,0.000802,0.000802
22,30.1522,0.63617,0.22784,0.01433,0.99156,0.91667,0.975,0.79279,0.76046,0.40458,0.01326,0.0007921,0.0007921,0.0007921
